linkType,origin,target
0,10101,20102
1,10101,10002
0,10101,201
0,201,202
0,201,200
0,10002,1
0,10200,20201
0,10002,20001
0,20201,20102
0,20201,20100
0,1,100
2,201,100
0,20100,10000
1,10101,10001
1,10101,10201
0,10200,10100
0,1,101
0,100,10101
0,10002,10001
2,200,10201
0,200,100
0,20001,10000
0,10002,10102
0,10101,101
0,10201,10100
0,201,101
0,20201,10202
2,10000,10100
0,1,2
0,10100,100
0,10101,20100
0,202,101
0,10200,20200
0,20102,20101
0,20200,20100
0,20100,20101
0,201,10201
0,100,0
2,2,10102
0,10002,20102
0,10200,200
0,10002,102
0,101,200
0,20101,10201
0,100,10200
0,10000,1
0,20102,20202
0,10202,10102
0,20200,20101
0,10100,10101
0,102,10102
0,101,0
0,20101,10102
0,2,10002
0,101,100
0,101,102
0,10102,202
0,2,102
0,20200,10100
0,10101,10102
0,20001,20000
0,10101,102
0,10100,101
0,201,102
0,20201,10101
0,10100,200
0,10202,20202
0,10100,20000
0,20101,20000
0,20102,20001
2,20102,10202
0,10101,10000
0,1,10101
0,0,10000
1,0,1
0,10001,20001
2,10000,10001
0,1,10001
0,10201,101
0,20000,10001
0,201,10202
0,10102,10201
1,10100,20100
0,20001,20100
0,10201,202
1,10201,20200
0,20000,10000
0,20200,20201
0,10202,10101
2,20000,20100
0,10100,0
0,10100,10001
1,20201,10201
0,20202,20101
0,20201,20202
